Using GATK jar /home/victor/Project/WES/CNA/.snakemake/conda/eab6dff9973c3131dfb5b9512bdb4cec_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx1638M -jar /home/victor/Project/WES/CNA/.snakemake/conda/eab6dff9973c3131dfb5b9512bdb4cec_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar ApplyBQSR --input results/prepared/P1.T.bwa_mem2.cram --bqsr-recal-file results/prepared/P1.T.grp --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmp_p302ou7 --output /dev/stdout
16:38:48.278 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/CNA/.snakemake/conda/eab6dff9973c3131dfb5b9512bdb4cec_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
16:38:48.330 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:48.334 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.4.0.0
16:38:48.335 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
16:38:48.335 INFO  ApplyBQSR - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-73-generic amd64
16:38:48.335 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
16:38:48.336 INFO  ApplyBQSR - Start Date/Time: June 2, 2023 at 4:38:48 PM CST
16:38:48.336 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:48.336 INFO  ApplyBQSR - ------------------------------------------------------------
16:38:48.338 INFO  ApplyBQSR - HTSJDK Version: 3.0.5
16:38:48.338 INFO  ApplyBQSR - Picard Version: 3.0.0
16:38:48.339 INFO  ApplyBQSR - Built for Spark Version: 3.3.1
16:38:48.340 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
16:38:48.340 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
16:38:48.341 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
16:38:48.342 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
16:38:48.342 INFO  ApplyBQSR - Deflater: IntelDeflater
16:38:48.342 INFO  ApplyBQSR - Inflater: IntelInflater
16:38:48.346 INFO  ApplyBQSR - GCS max retries/reopens: 20
16:38:48.346 INFO  ApplyBQSR - Requester pays: disabled
16:38:48.347 INFO  ApplyBQSR - Initializing engine
16:38:49.094 INFO  ApplyBQSR - Done initializing engine
INFO	2023-06-02 16:38:49	SAMFileWriterFactory	Unknown file extension, assuming BAM format when writing file: file:///dev/stdout
WARNING	2023-06-02 16:38:49	SAMFileWriterFactory	Cannot create index for BAM because output file is not a regular file: file:///dev/stdout
16:38:49.230 INFO  ProgressMeter - Starting traversal
16:38:49.231 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
16:38:59.248 INFO  ProgressMeter -         chr1:6630298              0.2                285000        1708633.1
16:39:09.291 INFO  ProgressMeter -        chr1:16138361              0.3                651000        1947255.6
16:39:19.310 INFO  ProgressMeter -        chr1:25038865              0.5               1041000        2076531.8
16:39:29.319 INFO  ProgressMeter -        chr1:34818894              0.7               1420000        2125324.3
16:39:39.322 INFO  ProgressMeter -        chr1:45496425              0.8               1851000        2217209.0
16:39:49.400 INFO  ProgressMeter -        chr1:60291045              1.0               2211000        2204789.8
16:39:59.406 INFO  ProgressMeter -        chr1:88891509              1.2               2598000        2221335.5
16:40:09.407 INFO  ProgressMeter -       chr1:109610672              1.3               2945000        2203956.4
16:40:19.577 INFO  ProgressMeter -       chr1:124596107              1.5               3311000        2198879.9
16:40:29.586 INFO  ProgressMeter -       chr1:151111134              1.7               3710000        2218125.7
16:40:39.601 INFO  ProgressMeter -       chr1:157135613              1.8               4138000        2249544.7
16:40:49.686 INFO  ProgressMeter -       chr1:169800020              2.0               4511000        2246998.9
16:40:59.693 INFO  ProgressMeter -       chr1:188823426              2.2               4924000        2264584.8
16:41:09.692 INFO  ProgressMeter -       chr1:206967394              2.3               5349000        2284904.7
16:41:19.697 INFO  ProgressMeter -       chr1:226981511              2.5               5768000        2300069.8
16:41:29.709 INFO  ProgressMeter -       chr1:242023700              2.7               6139000        2295267.9
16:41:39.713 INFO  ProgressMeter -        chr2:11872217              2.8               6509000        2290799.0
16:41:49.721 INFO  ProgressMeter -        chr2:28804904              3.0               6899000        2293423.5
16:41:59.723 INFO  ProgressMeter -        chr2:46856112              3.2               7252000        2284202.4
16:42:09.731 INFO  ProgressMeter -        chr2:69437326              3.3               7598000        2273727.1
16:42:19.736 INFO  ProgressMeter -        chr2:87623869              3.5               7994000        2278531.5
16:42:29.740 INFO  ProgressMeter -       chr2:102508184              3.7               8377000        2279373.1
16:42:39.751 INFO  ProgressMeter -       chr2:122068898              3.8               8761000        2280322.7
16:42:49.759 INFO  ProgressMeter -       chr2:149321368              4.0               9169000        2287227.6
16:42:59.775 INFO  ProgressMeter -       chr2:171522704              4.2               9554000        2287990.5
16:43:09.858 INFO  ProgressMeter -       chr2:192551055              4.3               9963000        2293622.7
16:43:19.880 INFO  ProgressMeter -       chr2:215394615              4.5              10373000        2299583.6
16:43:29.887 INFO  ProgressMeter -       chr2:230728125              4.7              10763000        2300974.5
16:43:40.087 INFO  ProgressMeter -         chr3:1383114              4.8              11173000        2304851.9
16:43:50.102 INFO  ProgressMeter -        chr3:19314658              5.0              11564000        2306112.3
16:44:00.112 INFO  ProgressMeter -        chr3:42864641              5.2              11972000        2310602.2
16:44:10.132 INFO  ProgressMeter -        chr3:50918355              5.3              12404000        2319219.9
16:44:20.145 INFO  ProgressMeter -        chr3:67133745              5.5              12808000        2322302.2
16:44:30.385 INFO  ProgressMeter -       chr3:106597618              5.7              13190000        2319780.3
16:44:40.399 INFO  ProgressMeter -       chr3:126390492              5.9              13594000        2322655.6
16:44:50.458 INFO  ProgressMeter -       chr3:144109221              6.0              14020000        2328729.6
16:45:00.531 INFO  ProgressMeter -       chr3:178802773              6.2              14440000        2333429.4
16:45:10.593 INFO  ProgressMeter -       chr3:196645169              6.4              14840000        2334795.6
