Using GATK jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar CollectAllelicCounts -I results/prepared/P1.N.cram -L results/called/preprocessed.interval_list -R /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --tmp-dir /tmp/tmp0iiyh870 --output results/called/P1.N.counts.tsv
09:00:55.583 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:00:55.640 INFO  CollectAllelicCounts - ------------------------------------------------------------
09:00:55.645 INFO  CollectAllelicCounts - The Genome Analysis Toolkit (GATK) v4.4.0.0
09:00:55.645 INFO  CollectAllelicCounts - For support and documentation go to https://software.broadinstitute.org/gatk/
09:00:55.646 INFO  CollectAllelicCounts - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-73-generic amd64
09:00:55.646 INFO  CollectAllelicCounts - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
09:00:55.646 INFO  CollectAllelicCounts - Start Date/Time: June 3, 2023 at 9:00:55 AM CST
09:00:55.646 INFO  CollectAllelicCounts - ------------------------------------------------------------
09:00:55.647 INFO  CollectAllelicCounts - ------------------------------------------------------------
09:00:55.648 INFO  CollectAllelicCounts - HTSJDK Version: 3.0.5
09:00:55.648 INFO  CollectAllelicCounts - Picard Version: 3.0.0
09:00:55.648 INFO  CollectAllelicCounts - Built for Spark Version: 3.3.1
09:00:55.649 INFO  CollectAllelicCounts - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:00:55.649 INFO  CollectAllelicCounts - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:00:55.650 INFO  CollectAllelicCounts - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:00:55.650 INFO  CollectAllelicCounts - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:00:55.650 INFO  CollectAllelicCounts - Deflater: IntelDeflater
09:00:55.651 INFO  CollectAllelicCounts - Inflater: IntelInflater
