Using GATK jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/P1.T.bwa_mem2.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmpdbptzaqh --output results/prepared/P1.T.grp
15:32:04.428 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:32:04.495 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:04.499 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
15:32:04.499 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
15:32:04.499 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-73-generic amd64
15:32:04.499 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
15:32:04.500 INFO  BaseRecalibrator - Start Date/Time: June 2, 2023 at 3:32:04 PM CST
15:32:04.500 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:04.500 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:04.501 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
15:32:04.502 INFO  BaseRecalibrator - Picard Version: 3.0.0
15:32:04.502 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
15:32:04.503 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:32:04.504 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:32:04.505 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:32:04.505 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:32:04.506 INFO  BaseRecalibrator - Deflater: IntelDeflater
15:32:04.506 INFO  BaseRecalibrator - Inflater: IntelInflater
15:32:04.507 INFO  BaseRecalibrator - GCS max retries/reopens: 20
15:32:04.507 INFO  BaseRecalibrator - Requester pays: disabled
15:32:04.508 INFO  BaseRecalibrator - Initializing engine
15:32:05.184 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
15:32:05.480 INFO  BaseRecalibrator - Done initializing engine
15:32:05.488 INFO  BaseRecalibrationEngine - The covariates being used here: 
15:32:05.488 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
15:32:05.488 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
15:32:05.488 INFO  BaseRecalibrationEngine - 	ContextCovariate
15:32:05.489 INFO  BaseRecalibrationEngine - 	CycleCovariate
15:32:05.604 INFO  ProgressMeter - Starting traversal
15:32:05.605 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:32:15.650 INFO  ProgressMeter -         chr1:4747502              0.2                178000        1063851.0
15:32:25.648 INFO  ProgressMeter -        chr1:11274069              0.3                401000        1200479.0
15:32:35.668 INFO  ProgressMeter -        chr1:17244522              0.5                641000        1279356.0
15:32:45.668 INFO  ProgressMeter -        chr1:23055041              0.7                871000        1304478.1
15:32:55.726 INFO  ProgressMeter -        chr1:28973508              0.8               1125000        1346767.8
15:33:05.866 INFO  ProgressMeter -        chr1:35636182              1.0               1354000        1348158.0
15:33:15.872 INFO  ProgressMeter -        chr1:41860423              1.2               1577000        1346597.2
15:33:25.894 INFO  ProgressMeter -        chr1:47761967              1.3               1838000        1373555.2
15:33:35.925 INFO  ProgressMeter -        chr1:56990297              1.5               2062000        1369796.3
15:33:46.017 INFO  ProgressMeter -        chr1:68431035              1.7               2243000        1340291.4
15:33:56.140 INFO  ProgressMeter -        chr1:83367302              1.8               2400000        1302766.6
15:34:06.146 INFO  ProgressMeter -        chr1:94010857              2.0               2595000        1291687.4
15:34:16.154 INFO  ProgressMeter -       chr1:105892495              2.2               2733000        1256099.3
15:34:26.161 INFO  ProgressMeter -       chr1:113980508              2.3               2955000        1261427.9
15:34:36.180 INFO  ProgressMeter -       chr1:145840199              2.5               3136000        1249618.1
15:34:46.232 INFO  ProgressMeter -       chr1:152613927              2.7               3394000        1267789.8
15:34:56.236 INFO  ProgressMeter -       chr1:156963507              2.8               3680000        1294028.0
15:35:06.323 INFO  ProgressMeter -       chr1:163519877              3.0               3931000        1305134.5
15:35:16.351 INFO  ProgressMeter -       chr1:173782264              3.2               4133000        1300060.3
15:35:26.438 INFO  ProgressMeter -       chr1:182530847              3.3               4329000        1293319.8
15:35:36.494 INFO  ProgressMeter -       chr1:195619792              3.5               4507000        1282292.0
15:35:46.559 INFO  ProgressMeter -       chr1:203850495              3.7               4741000        1287423.1
15:35:56.582 INFO  ProgressMeter -       chr1:210265927              3.8               4957000        1287666.3
15:36:06.589 INFO  ProgressMeter -       chr1:220626327              4.0               5133000        1278015.5
15:36:16.600 INFO  ProgressMeter -       chr1:228377181              4.2               5349000        1278670.9
15:36:26.616 INFO  ProgressMeter -       chr1:236838365              4.4               5561000        1278341.8
15:36:36.615 INFO  ProgressMeter -       chr1:247494456              4.5               5729000        1268366.5
15:36:46.696 INFO  ProgressMeter -         chr2:9173068              4.7               5894000        1258097.9
15:36:56.726 INFO  ProgressMeter -        chr2:20102083              4.9               6074000        1251854.9
15:37:06.813 INFO  ProgressMeter -        chr2:27449962              5.0               6311000        1257142.1
15:37:16.856 INFO  ProgressMeter -        chr2:36396307              5.2               6506000        1254168.7
15:37:26.858 INFO  ProgressMeter -        chr2:45809391              5.4               6691000        1249669.3
15:37:36.885 INFO  ProgressMeter -        chr2:56120172              5.5               6861000        1242638.4
15:37:47.001 INFO  ProgressMeter -        chr2:67978218              5.7               7021000        1233937.2
15:37:57.046 INFO  ProgressMeter -        chr2:75584752              5.9               7268000        1240837.7
15:38:07.053 INFO  ProgressMeter -        chr2:88174652              6.0               7439000        1234869.8
15:38:17.062 INFO  ProgressMeter -       chr2:100148295              6.2               7677000        1240039.2
15:38:27.096 INFO  ProgressMeter -       chr2:110779170              6.4               7862000        1236516.7
15:38:37.120 INFO  ProgressMeter -       chr2:121340957              6.5               8045000        1232903.0
15:38:47.127 INFO  ProgressMeter -       chr2:131190822              6.7               8213000        1227280.2
15:38:57.199 INFO  ProgressMeter -       chr2:142855028              6.9               8373000        1220574.7
15:39:07.207 INFO  ProgressMeter -       chr2:156180740              7.0               8527000        1213517.0
