Using GATK jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx819M -jar /home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar BaseRecalibrator --input results/prepared/P1.N.bwa_mem2.cram --reference /home/victor/DataHub/GATK/Homo_sapiens_assembly38.fasta --known-sites /home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz --tmp-dir /tmp/tmpifmcdey5 --output results/prepared/P1.N.grp
15:32:03.746 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/victor/Project/WES/CNA/.snakemake/conda/9116e72b66383614e9dc71d399632f64_/share/gatk4-4.4.0.0-0/gatk-package-4.4.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
15:32:03.798 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:03.802 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.4.0.0
15:32:03.802 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
15:32:03.802 INFO  BaseRecalibrator - Executing as victor@shpc-1385-instance-rVoBySAX on Linux v5.15.0-73-generic amd64
15:32:03.802 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v17.0.3-internal+0-adhoc..src
15:32:03.803 INFO  BaseRecalibrator - Start Date/Time: June 2, 2023 at 3:32:03 PM CST
15:32:03.803 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:03.803 INFO  BaseRecalibrator - ------------------------------------------------------------
15:32:03.804 INFO  BaseRecalibrator - HTSJDK Version: 3.0.5
15:32:03.804 INFO  BaseRecalibrator - Picard Version: 3.0.0
15:32:03.805 INFO  BaseRecalibrator - Built for Spark Version: 3.3.1
15:32:03.805 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
15:32:03.805 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
15:32:03.806 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
15:32:03.806 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
15:32:03.806 INFO  BaseRecalibrator - Deflater: IntelDeflater
15:32:03.807 INFO  BaseRecalibrator - Inflater: IntelInflater
15:32:03.807 INFO  BaseRecalibrator - GCS max retries/reopens: 20
15:32:03.807 INFO  BaseRecalibrator - Requester pays: disabled
15:32:03.808 INFO  BaseRecalibrator - Initializing engine
15:32:04.515 INFO  FeatureManager - Using codec VCFCodec to read file file:///home/victor/DataHub/GATK/Homo_sapiens_assembly38.dbsnp138.vcf.gz
15:32:04.901 INFO  BaseRecalibrator - Done initializing engine
15:32:04.910 INFO  BaseRecalibrationEngine - The covariates being used here: 
15:32:04.911 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
15:32:04.911 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
15:32:04.911 INFO  BaseRecalibrationEngine - 	ContextCovariate
15:32:04.911 INFO  BaseRecalibrationEngine - 	CycleCovariate
15:32:05.062 INFO  ProgressMeter - Starting traversal
15:32:05.063 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
15:32:15.107 INFO  ProgressMeter -         chr1:6245294              0.2                111000         663809.4
15:32:25.121 INFO  ProgressMeter -        chr1:15078178              0.3                237000         708979.4
15:32:35.210 INFO  ProgressMeter -        chr1:21724054              0.5                367000         730420.9
15:32:45.223 INFO  ProgressMeter -        chr1:29085053              0.7                504000         753006.8
15:32:55.253 INFO  ProgressMeter -        chr1:37503650              0.8                618000         738807.3
15:33:05.307 INFO  ProgressMeter -        chr1:45755740              1.0                752000         748966.7
15:33:15.372 INFO  ProgressMeter -        chr1:59624763              1.2                868000         740730.2
15:33:25.397 INFO  ProgressMeter -        chr1:77792807              1.3                954000         712525.2
15:33:35.469 INFO  ProgressMeter -        chr1:95150152              1.5               1043000         692218.4
15:33:45.473 INFO  ProgressMeter -       chr1:110604223              1.7               1126000         672848.1
15:33:55.474 INFO  ProgressMeter -       chr1:145960180              1.8               1228000         667330.9
15:34:05.486 INFO  ProgressMeter -       chr1:155354392              2.0               1381000         688080.3
15:34:15.558 INFO  ProgressMeter -       chr1:163990447              2.2               1519000         698422.9
15:34:25.681 INFO  ProgressMeter -       chr1:179228146              2.3               1615000         689105.9
15:34:35.879 INFO  ProgressMeter -       chr1:196717975              2.5               1702000         677116.5
15:34:45.905 INFO  ProgressMeter -       chr1:206732584              2.7               1828000         681911.4
15:34:55.925 INFO  ProgressMeter -       chr1:220188478              2.8               1911000         671071.8
15:35:05.933 INFO  ProgressMeter -       chr1:231421272              3.0               2027000         672416.7
15:35:16.104 INFO  ProgressMeter -       chr1:245245632              3.2               2113000         663630.7
15:35:26.198 INFO  ProgressMeter -        chr2:10674492              3.4               2194000         654485.8
15:35:36.210 INFO  ProgressMeter -        chr2:26310821              3.5               2288000         650166.2
15:35:46.274 INFO  ProgressMeter -        chr2:36808416              3.7               2395000         649606.0
15:35:56.316 INFO  ProgressMeter -        chr2:49947326              3.9               2481000         643710.6
15:36:06.532 INFO  ProgressMeter -        chr2:66071674              4.0               2562000         636606.1
15:36:16.590 INFO  ProgressMeter -        chr2:81197103              4.2               2672000         637386.8
15:36:26.661 INFO  ProgressMeter -        chr2:98998172              4.4               2797000         641518.7
15:36:36.754 INFO  ProgressMeter -       chr2:114395051              4.5               2898000         639994.1
15:36:46.872 INFO  ProgressMeter -       chr2:130341832              4.7               2982000         634900.4
15:36:56.952 INFO  ProgressMeter -       chr2:149160697              4.9               3063000         629622.9
15:37:07.024 INFO  ProgressMeter -       chr2:166277030              5.0               3146000         625113.8
15:37:17.063 INFO  ProgressMeter -       chr2:180923514              5.2               3255000         625963.5
15:37:27.118 INFO  ProgressMeter -       chr2:200506984              5.4               3342000         622626.6
15:37:37.201 INFO  ProgressMeter -       chr2:216277768              5.5               3447000         622693.0
15:37:47.309 INFO  ProgressMeter -       chr2:227472018              5.7               3562000         624464.9
15:37:57.312 INFO  ProgressMeter -       chr2:237977983              5.9               3668000         624787.1
15:38:07.356 INFO  ProgressMeter -         chr3:8752956              6.0               3768000         624025.3
15:38:17.623 INFO  ProgressMeter -        chr3:22317193              6.2               3883000         625348.9
15:38:27.681 INFO  ProgressMeter -        chr3:38479722              6.4               3969000         622397.9
15:38:37.707 INFO  ProgressMeter -        chr3:48662350              6.5               4113000         628509.9
15:38:47.756 INFO  ProgressMeter -        chr3:55852146              6.7               4275000         636961.7
15:38:57.814 INFO  ProgressMeter -        chr3:72967507              6.9               4362000         634086.9
15:39:07.883 INFO  ProgressMeter -        chr3:98498132              7.0               4424000         627786.4
15:39:17.920 INFO  ProgressMeter -       chr3:116283838              7.2               4509000         625011.6
